Date,Year,Month,Month_Name,Quarter,Station,Energy_kWh,Volume_m3,Runtime_hrs,Flow_Rate_m3hr,Avg_Power_kW,Power_Factor,Energy_Intensity_kWh_m3,Efficiency_Class,Is_Anomaly,Anomaly_Type,Anomaly_Notes
2020-01-01,2020,1,Jan,Q1,PS1,2032441.0,340003.0,513.2,662.6,3960.6,0.9778,5.9777,Moderate,0,Normal,Normal operation
2020-02-01,2020,2,Feb,Q1,PS1,2136523.0,350627.0,537.1,652.8,3977.9,0.9665,6.0934,Moderate,0,Normal,Normal operation
2020-03-01,2020,3,Mar,Q1,PS1,2172616.0,371244.0,583.4,636.4,3724.3,0.948,5.8523,Moderate,0,Normal,Normal operation
2020-04-01,2020,4,Apr,Q2,PS1,2278705.0,399436.0,581.2,687.3,3920.9,0.9466,5.7048,Moderate,0,Normal,Normal operation
2020-05-01,2020,5,May,Q2,PS1,2356785.0,405868.0,640.0,634.2,3682.6,0.9338,5.8068,Moderate,0,Normal,Normal operation
2020-06-01,2020,6,Jun,Q2,PS1,2559168.0,431725.0,641.3,673.2,3990.9,0.9336,5.9278,Moderate,0,Normal,Normal operation
2020-07-01,2020,7,Jul,Q3,PS1,2369826.0,409616.0,637.2,642.9,3719.2,0.9606,5.7855,Moderate,0,Normal,Normal operation
2020-08-01,2020,8,Aug,Q3,PS1,2299358.0,392695.0,606.0,648.0,3794.5,0.9828,5.8553,Moderate,0,Normal,Normal operation
2020-09-01,2020,9,Sep,Q3,PS1,1181936.0,206142.0,272.1,757.6,4343.9,0.9367,5.7336,Moderate,1,Maintenance_Period,Planned shutdown/maintenance; reduced throughput
2020-10-01,2020,10,Oct,Q4,PS1,2045697.0,354171.0,512.1,691.6,3994.9,0.958,5.776,Moderate,0,Normal,Normal operation
2020-11-01,2020,11,Nov,Q4,PS1,2026130.0,341937.0,518.8,659.0,3905.1,0.9505,5.9255,Moderate,0,Normal,Normal operation
2020-12-01,2020,12,Dec,Q4,PS1,1873393.0,318172.0,496.3,641.1,3774.6,0.9709,5.888,Moderate,0,Normal,Normal operation
2021-01-01,2021,1,Jan,Q1,PS1,2027954.0,338778.0,490.0,691.3,4138.4,0.9492,5.9861,Moderate,0,Normal,Normal operation
2021-02-01,2021,2,Feb,Q1,PS1,2108488.0,347085.0,551.1,629.8,3826.1,0.969,6.0749,Moderate,0,Normal,Normal operation
2021-03-01,2021,3,Mar,Q1,PS1,2735696.0,357036.0,600.8,594.3,4553.4,0.9496,7.6622,Inefficient,1,Equipment_Degradation,Increased bearing friction; pump curve shift
2021-04-01,2021,4,Apr,Q2,PS1,2293596.0,393667.0,608.5,646.9,3769.0,0.9371,5.8262,Moderate,0,Normal,Normal operation
