Date,Month,Year,Station,Energy_kWh,Volume_m3,Runtime_hrs,Flow_Rate_m3hr,Avg_Power_kW,Energy_Intensity_kWh_m3,Efficiency_Class,Data_Source
2026-01-01,Jan,2026,PS1,2317134,395000,580,681.0,3995.1,5.8662,Efficient,Actual (Energy) / Sample (Volume)
2026-02-01,Feb,2026,PS1,2349447,350000,520,673.1,4518.2,6.7127,Moderate,Actual (Energy) / Sample (Volume)
2026-03-01,Mar,2026,PS1,2716257,430000,630,682.5,4311.5,6.3169,Efficient,Actual (Energy) / Sample (Volume)
2026-04-01,Apr,2026,PS1,2257791,360000,545,660.6,4142.7,6.2716,Efficient,Actual (Energy) / Sample (Volume)
2026-05-01,May,2026,PS1,2169519,400000,590,678.0,3677.2,5.4238,Efficient,Actual (Energy) / Sample (Volume)
2026-06-01,Jun,2026,PS1,2384220,375000,560,669.6,4257.5,6.3579,Efficient,Actual (Energy) / Sample (Volume)
2026-01-01,Jan,2026,PS3,1899924,395000,560,705.4,3392.7,4.8099,Efficient,Actual (Energy) / Sample (Volume)
2026-02-01,Feb,2026,PS3,2225376,350000,510,686.3,4363.5,6.3582,Efficient,Actual (Energy) / Sample (Volume)
2026-03-01,Mar,2026,PS3,1906080,430000,610,704.9,3124.7,4.4327,Efficient,Actual (Energy) / Sample (Volume)
2026-04-01,Apr,2026,PS3,2118120,360000,530,679.2,3996.5,5.8837,Efficient,Actual (Energy) / Sample (Volume)
2026-05-01,May,2026,PS3,1861224,400000,575,695.7,3236.9,4.6531,Efficient,Actual (Energy) / Sample (Volume)
2026-06-01,Jun,2026,PS3,2040312,375000,545,688.1,3743.7,5.4408,Efficient,Actual (Energy) / Sample (Volume)
2026-01-01,Jan,2026,PS5,2193846,395000,575,687.0,3815.4,5.554,Efficient,Actual (Energy) / Sample (Volume)
2026-02-01,Feb,2026,PS5,2138910,350000,515,679.6,4153.2,6.1112,Efficient,Actual (Energy) / Sample (Volume)
2026-03-01,Mar,2026,PS5,2502426,430000,625,688.0,4003.9,5.8196,Efficient,Actual (Energy) / Sample (Volume)
2026-04-01,Apr,2026,PS5,2057286,360000,535,672.9,3845.4,5.7147,Efficient,Actual (Energy) / Sample (Volume)
2026-05-01,May,2026,PS5,2029614,400000,580,689.7,3499.3,5.074,Efficient,Actual (Energy) / Sample (Volume)
2026-06-01,Jun,2026,PS5,2245356,375000,548,684.3,4097.4,5.9876,Efficient,Actual (Energy) / Sample (Volume)
2026-01-01,Jan,2026,PS7,2038182,395000,548,720.8,3719.3,5.16,Efficient,Actual (Energy) / Sample (Volume)
2026-02-01,Feb,2026,PS7,1977528,350000,498,702.8,3970.9,5.6501,Efficient,Actual (Energy) / Sample (Volume)
2026-03-01,Mar,2026,PS7,2415570,430000,605,710.7,3992.7,5.6176,Efficient,Actual (Energy) / Sample (Volume)
2026-04-01,Apr,2026,PS7,1949652,360000,518,695.0,3763.8,5.4157,Efficient,Actual (Energy) / Sample (Volume)
2026-05-01,May,2026,PS7,1904724,400000,568,704.2,3353.4,4.7618,Efficient,Actual (Energy) / Sample (Volume)
2026-06-01,Jun,2026,PS7,2136456,375000,536,699.6,3985.9,5.6972,Efficient,Actual (Energy) / Sample (Volume)
