Date,Year,Month,Month_Name,Quarter,Station,Energy_kWh,Volume_m3,Runtime_hrs,Flow_Rate_m3hr,Avg_Power_kW,Power_Factor,Energy_Intensity_kWh_m3,Efficiency_Class,Cost_KShs,Is_Anomaly,Anomaly_Type,Data_Source,MSP_m3,AGO_m3,JETA1_m3
2022-07-01,2022,7,Jul,Q3,PS1,2009518,623606.9,2501.3,249.3,803.4,0.953,3.2224,Moderate,45214158,0,None,Synthetic (derived from real EI ratios),268151,280623,74833
2022-07-01,2022,7,Jul,Q3,PS3,1691919,623606.9,2506.2,248.8,675.1,0.886,2.7131,Efficient,38068177,0,None,Synthetic (derived from real EI ratios),268151,280623,74833
2022-07-01,2022,7,Jul,Q3,PS5,1924362,623606.9,2456.7,253.8,783.3,0.882,3.0859,Moderate,43298148,0,None,Synthetic (derived from real EI ratios),268151,280623,74833
2022-07-01,2022,7,Jul,Q3,PS7,1739141,623606.9,2467.7,252.7,704.8,0.898,2.7888,Efficient,39130673,0,None,Synthetic (derived from real EI ratios),268151,280623,74833
2022-08-01,2022,8,Aug,Q3,PS1,1956204,619673.9,2577.3,240.4,759.0,0.923,3.1568,Moderate,44014584,0,None,Synthetic (derived from real EI ratios),266460,278853,74361
2022-08-01,2022,8,Aug,Q3,PS3,1625002,619673.9,2463.2,251.6,659.7,0.909,2.6223,Efficient,36562538,0,None,Synthetic (derived from real EI ratios),266460,278853,74361
2022-08-01,2022,8,Aug,Q3,PS5,1880017,619673.9,2489.9,248.9,755.0,0.9,3.0339,Moderate,42300384,0,None,Synthetic (derived from real EI ratios),266460,278853,74361
2022-08-01,2022,8,Aug,Q3,PS7,1700489,619673.9,2473.2,250.6,687.6,0.941,2.7442,Efficient,38261003,0,None,Synthetic (derived from real EI ratios),266460,278853,74361
2022-09-01,2022,9,Sep,Q3,PS1,1811573,597854.0,2405.4,248.5,753.1,0.948,3.0301,Moderate,40760394,0,None,Synthetic (derived from real EI ratios),257077,269034,71742
2022-09-01,2022,9,Sep,Q3,PS3,1576439,597854.0,2443.1,244.7,645.3,0.883,2.6368,Efficient,35469887,0,None,Synthetic (derived from real EI ratios),257077,269034,71742
2022-09-01,2022,9,Sep,Q3,PS5,1750673,597854.0,2451.3,243.9,714.2,0.911,2.9283,Efficient,39390153,0,None,Synthetic (derived from real EI ratios),257077,269034,71742
2022-09-01,2022,9,Sep,Q3,PS7,1576490,597854.0,2382.0,251.0,661.8,0.977,2.6369,Efficient,35471031,0,None,Synthetic (derived from real EI ratios),257077,269034,71742
2022-10-01,2022,10,Oct,Q4,PS1,1973911,642873.2,2562.7,250.9,770.2,0.889,3.0705,Moderate,44412997,0,None,Synthetic (derived from real EI ratios),276435,289293,77145
2022-10-01,2022,10,Oct,Q4,PS3,1657000,642873.2,2587.1,248.5,640.5,0.919,2.5775,Efficient,37282509,0,None,Synthetic (derived from real EI ratios),276435,289293,77145
2022-10-01,2022,10,Oct,Q4,PS5,1786862,642873.2,2518.3,255.3,709.6,0.908,2.7795,Efficient,40204388,0,None,Synthetic (derived from real EI ratios),276435,289293,77145
2022-10-01,2022,10,Oct,Q4,PS7,1732277,642873.2,2591.5,248.1,668.5,0.887,2.6946,Efficient,38976244,0,None,Synthetic (derived from real EI ratios),276435,289293,77145
2022-11-01,2022,11,Nov,Q4,PS1,1716894,588079.0,2323.9,253.1,738.8,0.881,2.9195,Efficient,38630118,0,None,Synthetic (derived from real EI ratios),252874,264636,70569
2022-11-01,2022,11,Nov,Q4,PS3,1812539,588079.0,2309.3,254.7,665.2,0.877,3.0821,Moderate,34561120,1,Power_Quality_Issue,Synthetic (derived from real EI ratios),252874,264636,70569
2022-11-01,2022,11,Nov,Q4,PS5,1594725,588079.0,2367.0,248.5,673.7,0.966,2.7118,Efficient,35881310,0,None,Synthetic (derived from real EI ratios),252874,264636,70569
2022-11-01,2022,11,Nov,Q4,PS7,1529861,588079.0,2361.1,249.1,647.9,0.911,2.6015,Efficient,34421882,0,None,Synthetic (derived from real EI ratios),252874,264636,70569
2022-12-01,2022,12,Dec,Q4,PS1,2035156,675400.5,2630.3,256.8,773.7,0.969,3.0133,Moderate,45791000,0,None,Synthetic (derived from real EI ratios),290422,303930,81048
2022-12-01,2022,12,Dec,Q4,PS3,1725719,675400.5,2736.9,246.8,630.5,0.956,2.5551,Efficient,38828677,0,None,Synthetic (derived from real EI ratios),290422,303930,81048
2022-12-01,2022,12,Dec,Q4,PS5,1858717,675400.5,2619.6,257.8,709.5,0.932,2.752,Efficient,41821142,0,None,Synthetic (derived from real EI ratios),290422,303930,81048
2022-12-01,2022,12,Dec,Q4,PS7,1772304,675400.5,2717.9,248.5,652.1,0.911,2.6241,Efficient,39876844,0,None,Synthetic (derived from real EI ratios),290422,303930,81048
2023-01-01,2023,1,Jan,Q1,PS1,1879279,639435.4,2539.6,251.8,740.0,0.921,2.939,Efficient,42283781,0,None,Synthetic (derived from real EI ratios),274957,287746,76732
2023-01-01,2023,1,Jan,Q1,PS3,1587494,639435.4,2583.7,247.5,614.4,0.973,2.4826,Efficient,35718613,0,None,Synthetic (derived from real EI ratios),274957,287746,76732
2023-01-01,2023,1,Jan,Q1,PS5,1802802,639435.4,2541.0,251.6,709.5,0.96,2.8194,Efficient,40563056,0,None,Synthetic (derived from real EI ratios),274957,287746,76732
2023-01-01,2023,1,Jan,Q1,PS7,1679445,639435.4,2509.1,254.8,669.3,0.961,2.6264,Efficient,37787507,0,None,Synthetic (derived from real EI ratios),274957,287746,76732
2023-02-01,2023,2,Feb,Q1,PS1,1883419,639018.8,2572.9,248.4,732.0,0.903,2.9474,Efficient,42376930,0,None,Synthetic (derived from real EI ratios),274778,287558,76682
2023-02-01,2023,2,Feb,Q1,PS3,1655913,639018.8,2542.8,251.3,651.2,0.881,2.5913,Efficient,37258044,0,None,Synthetic (derived from real EI ratios),274778,287558,76682
